day_of_week,avg_fare
Sunday,18.37949136757289
Monday,19.35851666883015
Tuesday,18.280335675557133
Wednesday,18.149314609964655
Thursday,18.278564002174804
Friday,17.866093987097244
Saturday,16.971949577118885
